slang;formal
aqunya;akunya
bagusjob;bagus job
barasa;berasa
beroka;berkah
bgtkaya;banget kayak
ckep;cakep
cobainnn;mencoba
crtanya;ceritanya
cucok;cocok
cucoks;cocok
dapam;dalam
dapetnya;dapatnya
dariindia;dari india
datengnya;datangnya
datng;datang
datsng;datang
diaktifin;diaktifkan
diaktivasi;diaktivasi
diapkek;dipakai
diapsang;dipasang
dibandingin;dibandingkan
dibatalin;dibatalkan
dibenerin;dibenarkan
dibgunakan;digunakan
dibingkus;dibungkus
dibolongin;dibplongi
diboongin;dibohongi
dicairin;dicairkan
dicobaa;dicoba
didalemnya;didalamnya
difotokopi;difotokopi
diganjel;diganjal
diipakai;dipakai
diitubg;dihitung
dijait;dijahit
dikais;diberi
dikantongin;dikantongi
dikasi;dikasih
dikbinasi;dikombinasi
dikecilin;dikecilkan
dikirimin;dikirimkan
dikomfirmasi;dikonfirmasi
dikrm;dikirim
dikurur;dikurir
dilipatgandakan;dilipat gandakan
diluarkota;diluar kota
dimainin;dimainkan
dimanapun;dimana pun
dimari;disini
dimatiin;dimatikan
dimintain;diminta
dindalemnya;didalamnya
dinginnn;dingin
dinyalain;dinyalakan
dipakaii;dipakai
dipakein;dipakai
dipakenya;dipakainya
dipengiriman;dipengiriman
diperhatiin;diperhatikan
diplastikin;diplastik
dipraktekkan;dipraktikkan
dipulangin;dipulangkan
diputer;diputar
dirapihkan;dirapikan
disambungin;disambungkan
disaranin;disarankan
diseesuai;disesuaikan
disemprotin;disemprotkan
disimpen;disimpan
disink;disini
diskripsi;deskripsi
ditambahin;ditambahkan
diteeima;diterima
diteken;ditekan
ditelfon;ditelepon
ditempelin;ditempelkan
ditidurin;ditidurkan
ditinggkatkan;ditingkatkan
dkasih;dikasih
dkirim;dikirim
dll;dan lain lain
dmakan;dimakan
dmobil;dimobil
doble;dobel
dos;dus
dpake;dipakai
dpencet;dipencet
dpet;dapat
dspet;dapat
dsri;dari
efekny;efeknya
eksim;eksem
emaknya;ibunya
ente;kamu
eprlu;perlu
fotocopy;fotokopi
fotocopyannya;fotokopinya
fotokopi;fotokopi
fotokopian;fotokopi
freeongkir;free ongkir
plat;pelat
gaada;tidak ada
gabikin;tidak bikin
gamoang;gampang
gamungkin;tidak mungkin
ganyangka;tidak menyangka
gapapa;tidak apa apa
gapapa;tidak apa apa
gaperlu;tidak perlu
gaperna;tidak pernah
gasuka;tidak suka
gemes;gemas
gemesin;menggemaskan
gokss;gokil
gokzzzzz;gokil
gorengaannn;gorengan
gosah;tidak usah
gua;aku
gunain;gunakan
haduh;aduh
hany;hanya
hanyarl;hanya
hape;hp
haraga;harga
hargapun;harga pun
haturkan;sampaikan
hidupin;hidupkan
itungannya;hitungannya
kalopun;kalaupun
katakananya;katakannya
kebuka;terbuka
kendor;kendur
kepake;terpakai
kepakeeee;terpakai
kepengen;ingin
pisan;banget
kerjasamanya;kerja samanya
kesel;kesal
keselip;terselip
kkrgan;kekurangan
kokokh;kokoh
komplek;kompleks
komplen;komplain
komplin;komplain
